first_name,last_name,birth_date,full_name
steve,macoha,1996-01-13,steve macoha
stromile,jokubaitis,2000-10-10,stromile jokubaitis
ruan,langhi,1994-03-09,ruan langhi
markelle,horner,1999-01-11,markelle horner
moustapha,sloukas,1991-01-22,moustapha sloukas
kahudi,vincent,1985-01-05,kahudi vincent
andersen,oni,1980-10-15,andersen oni
dibartolomeo,hawkins,1993-10-04,dibartolomeo hawkins
weaver,peacock,2000-10-26,weaver peacock
watkins,brown,1989-08-26,watkins brown
rawle,apic,1987-06-17,rawle apic
bender,fletcher,1978-06-11,bender fletcher
upshaw,frankamp,1994-06-15,upshaw frankamp
parrado,erden,1995-03-14,parrado erden
jeremy,christon,1977-03-13,jeremy christon
boatright,vitali,1976-06-15,boatright vitali
edwin,holman,1987-08-29,edwin holman
lazic,okouo,1979-03-05,lazic okouo
albicy,emmett,1987-05-12,albicy emmett
english,uthoff,1995-11-14,english uthoff
marreese,garces,1991-07-29,marreese garces
mikki,tripp,1992-07-26,mikki tripp
simisola,huskic,1980-08-15,simisola huskic
bogdanovic,pietrus,2000-01-30,bogdanovic pietrus
duop,bramos,1999-05-19,duop bramos
gabe,bennett,1979-09-10,gabe bennett
brown,franklin,1996-05-20,brown franklin
francisco,lowry,1994-11-24,francisco lowry
dulkys,daval-braquet,2000-07-23,dulkys daval-braquet
zeisloft,kelly,1987-02-08,zeisloft kelly
draymond,ntilikina,1994-04-18,draymond ntilikina
van den eynde,sacchetti,1990-07-15,van den eynde sacchetti
jerian,ham,1989-07-06,jerian ham
falk,winston,1988-12-26,falk winston
perovic,kulboka,1991-02-17,perovic kulboka
skal,schneider,1981-05-04,skal schneider
shake,dimec,1992-09-14,shake dimec
cattapan,thompson,1984-09-03,cattapan thompson
buddy,stoudemire,1989-08-02,buddy stoudemire
radosevic,ojeleye,1979-07-18,radosevic ojeleye
bronson,hannahs,1978-11-27,bronson hannahs
toupane,cate,1984-07-28,toupane cate
cline,harrington,1979-07-03,cline harrington
mason jr.,nesbitt,1993-02-08,mason jr. nesbitt
dragic,nesmith,1994-08-25,dragic nesmith
bynum,radosevic,1992-01-25,bynum radosevic
tokoto,maxwell,1990-09-12,tokoto maxwell
beverley,nwora,1992-02-06,beverley nwora
michal,poole,1991-08-11,michal poole
jean-charles,lang,1979-07-20,jean-charles lang
kaiser,stockton,1993-03-19,kaiser stockton
pons,hield,1995-04-09,pons hield
conklin,coleman,1988-06-27,conklin coleman
zabian,sessions,1977-09-18,zabian sessions
lammers,conger,1993-12-24,lammers conger
tayshaun,hopkins,1973-11-29,tayshaun hopkins
koponen,ancellotti,1980-03-29,koponen ancellotti
gaffney,bozeman,1997-09-17,gaffney bozeman
fesenko,burleson,1985-09-13,fesenko burleson
planinic,haas,1970-12-24,planinic haas
muric,buford,1992-10-06,muric buford
abalde,tuncer,1991-06-21,abalde tuncer
sessions,mozgov,1989-01-30,sessions mozgov
pero,singletary,1984-04-09,pero singletary
queeley,callandret,1982-12-12,queeley callandret
mahinmi,amaize,2002-06-01,mahinmi amaize
calathes,braggs,2003-08-04,calathes braggs
lynn,mclaughlin,1988-05-17,lynn mclaughlin
sikma,dibartolomeo,1989-01-13,sikma dibartolomeo
kriss,scales,2002-11-11,kriss scales
bostic,radoncic,1981-10-04,bostic radoncic
matisse,lamb,1989-06-30,matisse lamb
scottie,ribas,1991-05-07,scottie ribas
zsombor,iannicelli,1987-12-18,zsombor iannicelli
horner,augmon,1996-04-10,horner augmon
abass,warren,1991-05-20,abass warren
nzosa,hunter,1997-05-09,nzosa hunter
buford,washburn,1993-05-29,buford washburn
holman,balbay,1997-03-23,holman balbay
ladontae,barnes,1994-06-26,ladontae barnes
walden,leuer,1991-05-30,walden leuer
junior,charalampopoulos,1995-08-24,junior charalampopoulos
jamison,lo,1983-04-29,jamison lo
akdamar,west,1994-09-17,akdamar west
hakim,teske,1975-07-15,hakim teske
chery,prather,1976-11-14,chery prather
rodions,mbah,2003-06-13,rodions mbah
toney,bonga,1988-05-25,toney bonga
bonzi,zhi-zhi,1997-07-15,bonzi zhi-zhi
hanno,mbenga,1997-06-23,hanno mbenga
diamond,tisma,1995-10-18,diamond tisma
tornike,aldridge,1987-05-13,tornike aldridge
hollis,hoiberg,1984-01-05,hollis hoiberg
dj,brogdon,1994-01-05,dj brogdon
donda,craig,1991-05-28,donda craig
martinez,rebic,1986-08-01,martinez rebic
j.j.,bogris,1991-07-01,j.j. bogris
daniele,tabuse,1991-10-07,daniele tabuse
dario,pleiss,1980-09-28,dario pleiss
demitrius,garcia,1986-05-15,demitrius garcia
rodney,jones,2003-10-16,rodney jones
burnell,zaytsev,1987-06-07,burnell zaytsev
pervis,nelson,1997-01-18,pervis nelson
keenan,mian,1995-09-06,keenan mian
jekiri,kouroupakis,1996-12-13,jekiri kouroupakis
roos,strautins,1991-03-11,roos strautins
moiso,lighty,1992-01-21,moiso lighty
lopez-arostegui,cavanaugh,1988-06-04,lopez-arostegui cavanaugh
needham,osby,1991-02-05,needham osby
imbro,gasol,1983-07-08,imbro gasol
maric,henton,1993-06-16,maric henton
elie,pullen,2000-04-15,elie pullen
calbert,hughes,1995-04-07,calbert hughes
dolinin,crispin,1986-07-29,dolinin crispin
vytenis,world,1988-04-20,vytenis world
masiulis,lukosiunas,1991-11-25,masiulis lukosiunas
beau,tambone,1992-11-12,beau tambone
deandre',rey,1986-08-06,deandre' rey
soumaila,stark,1986-06-26,soumaila stark
kalinov,drew,2000-07-24,kalinov drew
de nicolao,bremer,1992-07-17,de nicolao bremer
donell,lavine,1987-12-26,donell lavine
grigoriy,rooks,1994-12-08,grigoriy rooks
mullens,antipov,1994-01-14,mullens antipov
nihad,peja,1988-09-12,nihad peja
nick,alkins,1977-08-31,nick alkins
wagner,profit,1994-07-06,wagner profit
vinicius,lipkevicius,1990-05-03,vinicius lipkevicius
todd,bendzius,1991-03-17,todd bendzius
sy,bateer,1990-10-13,sy bateer
cavaliero,udoka,1995-10-02,cavaliero udoka
vladimir,goodrich,1988-11-09,vladimir goodrich
guerrero,gaddy,1984-08-03,guerrero gaddy
mamadou,causeur,1991-08-09,mamadou causeur
darius,rivers,1988-11-24,darius rivers
davon,basden,1995-12-24,davon basden
karolis,nachbar,1990-05-19,karolis nachbar
meyers,dominguez,1989-08-04,meyers dominguez
sykes,dinwiddie,1983-01-22,sykes dinwiddie
antonio,shakur,2000-11-26,antonio shakur
deri,mutombo,1987-05-26,deri mutombo
wenyen,harrell,1994-08-18,wenyen harrell
kingsley,mccray,1992-11-26,kingsley mccray
bryce,mcilvaine,1982-01-18,bryce mcilvaine
ager,koenig,1991-04-17,ager koenig
dimitriy,douby,1984-02-16,dimitriy douby
farley,atkins,1997-01-04,farley atkins
vit,christopher,1993-09-24,vit christopher
porzingis,waiters,1993-06-28,porzingis waiters
jemerrio,vildera,1992-08-27,jemerrio vildera
errick,orton,1990-10-20,errick orton
cassius,diouf,1990-07-22,cassius diouf
luc,bonacini,1986-12-13,luc bonacini
hawkins,chessa,1991-03-19,hawkins chessa
ousman,filipovity,1990-09-01,ousman filipovity
elfrid,sikiras,1988-11-08,elfrid sikiras
mirotic,vranes,1979-06-15,mirotic vranes
lazeric,sulaimon,1976-04-11,lazeric sulaimon
kira,pavlovic,1992-10-19,kira pavlovic
mcrae,mcrae,1991-04-18,mcrae mcrae
dillon,samake,1985-04-03,dillon samake
monty,sumner,1993-10-17,monty sumner
klay,vanterpool,1991-10-01,klay vanterpool
ingles,fells,1993-04-07,ingles fells
k.c.,cobbs,1982-04-09,k.c. cobbs
smush,pinkney,1989-10-27,smush pinkney
jamil,nnoko,2001-01-16,jamil nnoko
gortat,henderson,1987-10-14,gortat henderson
zion,pascolo,1995-11-03,zion pascolo
jeff,wells,1997-12-13,jeff wells
kirilenko,moreira,1995-02-08,kirilenko moreira
vitaly,capela,1984-11-25,vitaly capela
semaj,burrell,1971-10-27,semaj burrell
lessort,benimon,1991-07-01,lessort benimon
orlando,norvell,1980-09-09,orlando norvell
dragan,baez,1997-06-20,dragan baez
ouattara,luz,1984-07-23,ouattara luz
kyzlink,smart,1991-08-21,kyzlink smart
colson,guerrero,1994-01-12,colson guerrero
blazic,canaan,1988-05-09,blazic canaan
kelly,hudson,1995-01-27,kelly hudson
yanick,larentzakis,1987-07-07,yanick larentzakis
mancinelli,hilario,1992-10-20,mancinelli hilario
voigtmann,kljajic,1994-04-12,voigtmann kljajic
datome,cissoko,1989-01-26,datome cissoko
boumtje-boumtje,shields,1982-08-28,boumtje-boumtje shields
delon,massenat,1995-01-06,delon massenat
george,young,1992-03-03,george young
fall,hamilton,1973-12-19,fall hamilton
henri,bullard,1993-03-08,henri bullard
atkins,olumuyiwa,2000-04-22,atkins olumuyiwa
timofey,green,2001-03-23,timofey green
klepeisz,prigioni,2001-05-11,klepeisz prigioni
akil,gelabale,2002-02-10,akil gelabale
kavell,okoro,1991-10-23,kavell okoro
roll,krstic,1996-06-07,roll krstic
brady,sanders,1985-09-17,brady sanders
joan,macon,1988-02-01,joan macon
ender,gant,2001-03-11,ender gant
richie,mussini,2003-01-14,richie mussini
alexander,chriss,2001-05-29,alexander chriss
landry,gay,1985-05-23,landry gay
dori,mcgary,1994-08-06,dori mcgary
alec,covington,1994-03-13,alec covington
rochestie,middleton,1976-01-27,rochestie middleton
facundo,sipahi,2000-01-30,facundo sipahi
angola,chiozza,1982-09-11,angola chiozza
pokusevski,hakanson,1982-03-17,pokusevski hakanson
trushkin,forray,1994-03-09,trushkin forray
giordano,daum,1985-04-12,giordano daum
richard,cohen,1991-07-02,richard cohen
sisko,jefferson,1978-08-08,sisko jefferson
e'twaun,ken,1982-03-24,e'twaun ken
sanchez,mcroberts,1993-05-04,sanchez mcroberts
johnathan,zeller,1997-04-03,johnathan zeller
njegos,fridzon,1993-04-08,njegos fridzon
charlon,blums,1992-09-27,charlon blums
batista,shoutvin,1998-01-22,batista shoutvin
zylan,blazevic,1994-02-04,zylan blazevic
jamario,chealey,1995-04-29,jamario chealey
aric,douglas,2002-01-03,aric douglas
raduljica,mika,1989-02-13,raduljica mika
janning,westbrook,2001-08-21,janning westbrook
olek,mcconnell,1983-03-09,olek mcconnell
jhonatan,knox,1978-11-02,jhonatan knox
markovic,iroegbu,1990-01-20,markovic iroegbu
dionte,emegano,1992-03-08,dionte emegano
tommaso,czerapowicz,1995-10-10,tommaso czerapowicz
obi,amundson,2000-03-29,obi amundson
cordinier,cabarkapa,2003-02-15,cordinier cabarkapa
rod,haslem,1999-01-09,rod haslem
nat sidi,mcgrady,1999-09-06,nat sidi mcgrady
booker,kruslin,1991-07-09,booker kruslin
daye,radicevic,1985-10-24,daye radicevic
brody,miller,1983-11-09,brody miller
bo,maloney,1996-03-05,bo maloney
montague,mullin,1998-05-15,montague mullin
gerard,albicy,1984-05-23,gerard albicy
giricek,grantham,1986-12-28,giricek grantham
walton jr.,antic,1986-04-09,walton jr. antic
frankamp,craft,2001-01-01,frankamp craft
ehigiator,cordinier,1984-09-07,ehigiator cordinier
iannicelli,roberson,1993-11-27,iannicelli roberson
harper,jovic,1986-03-31,harper jovic
branko,richardson,1989-05-25,branko richardson
colom,bargnani,2000-03-12,colom bargnani
virginio,grundy,1974-09-25,virginio grundy
andriuskevicius,braun,1975-11-11,andriuskevicius braun
fontecchio,muric,1991-10-23,fontecchio muric
vlatko,augustine,1992-07-06,vlatko augustine
clavell,moreland,1991-12-22,clavell moreland
dusty,whiteside,1988-03-13,dusty whiteside
pelle,silva,1986-05-19,pelle silva
kawhi,udanoh,1981-02-21,kawhi udanoh
vranes,ebanks,2002-05-25,vranes ebanks
landon,nocioni,1993-02-28,landon nocioni
zanna,bairstow,1987-04-24,zanna bairstow
ponitka,thorpe,1991-11-15,ponitka thorpe
joffrey,simon,1984-07-29,joffrey simon
kramer,boozer,1997-05-17,kramer boozer
eidan,bess,1991-10-29,eidan bess
channing,guido,1973-02-06,channing guido
brancou,valentine,1979-03-04,brancou valentine
jake,oliver,1981-06-26,jake oliver
turen,oden,1994-12-06,turen oden
burjanadze,bone,1999-11-04,burjanadze bone
killian,bohannon,1991-04-02,killian bohannon
dajuan,sedekerskis,1975-07-15,dajuan sedekerskis
henton,walkup,1979-04-16,henton walkup
ekezie,porter,1986-12-21,ekezie porter
eugene,samanic,1993-01-20,eugene samanic
tyler,sabonis,1993-09-18,tyler sabonis
fotu,cleveland,1999-08-30,fotu cleveland
jaren,lessort,1993-03-11,jaren lessort
stephaun,lofton,1982-07-17,stephaun lofton
alexey,booker,1995-08-27,alexey booker
ahearn,barnies,1988-10-20,ahearn barnies
gallo,gravaghi,1991-12-19,gallo gravaghi
tyrus,papagiannis,1994-08-24,tyrus papagiannis
myles,papanikolaou,1997-10-09,myles papanikolaou
macijauskas,bleijenbergh,1986-08-21,macijauskas bleijenbergh
tom,cacok,1988-07-20,tom cacok
archibald,eschmeyer,1994-01-02,archibald eschmeyer
darrun,pinault,1991-02-14,darrun pinault
kaniel,camby,1987-11-09,kaniel camby
barea,alexander,1999-02-23,barea alexander
reggie,embiid,1983-04-02,reggie embiid
davies,diogu,1984-04-12,davies diogu
harry,archibald,2001-05-04,harry archibald
cleaves,rucker,1989-07-17,cleaves rucker
bojan,tate,1989-02-10,bojan tate
rick,tonut,2003-06-13,rick tonut
profit,djedovic,1992-03-05,profit djedovic
luca,gentile,1995-11-06,luca gentile
torrey,hilliard,1993-12-07,torrey hilliard
detlef,hutchison,1994-09-07,detlef hutchison
papagiannis,kramer,1987-01-07,papagiannis kramer
zizic,larrier,1981-10-09,zizic larrier
jarrid,mcadoo,1988-06-01,jarrid mcadoo
conger,fernandez,1996-12-19,conger fernandez
deryk,sow,1985-08-23,deryk sow
kadji,lawal,1985-05-06,kadji lawal
holmes,mcdyess,1988-05-24,holmes mcdyess
dino,singleton,1981-08-23,dino singleton
oyedeji,dawkins,1986-10-31,oyedeji dawkins
gravaghi,griffin,1977-06-02,gravaghi griffin
bost,daniels,1993-05-07,bost daniels
murphy,kaminsky,2000-06-11,murphy kaminsky
nik,penney,1990-09-01,nik penney
dudzinski,samb,1985-03-22,dudzinski samb
ricci,zeisloft,1996-02-04,ricci zeisloft
belinelli,ariza,2002-01-05,belinelli ariza
jacque,eatherton,1988-07-24,jacque eatherton
ndoye,roby,1986-12-28,ndoye roby
baldi,harper,1999-02-17,baldi harper
emanual,walker,1996-07-15,emanual walker
robbie,vildoza,1987-04-25,robbie vildoza
yildizli,sullinger,1981-09-16,yildizli sullinger
johan,guduric,1982-07-20,johan guduric
codi,ayon,1991-08-27,codi ayon
acy,slaughter,1978-07-26,acy slaughter
bobrov,kurz,1996-03-06,bobrov kurz
jerry,diez,1994-10-10,jerry diez
kwame,martyuk,1981-02-26,kwame martyuk
bako,gomes,1997-05-23,bako gomes
melli,cousins,1989-01-04,melli cousins
eldridge,robinson,1990-01-18,eldridge robinson
uskokovic,majerle,1998-03-20,uskokovic majerle
warrick,polonara,1995-12-23,warrick polonara
pangos,vaughn,1987-08-15,pangos vaughn
garces,maynor,1985-02-09,garces maynor
sean,koponen,1981-05-03,sean koponen
czerapowicz,coker,1981-12-23,czerapowicz coker
agbelese,butterfield,1983-04-05,agbelese butterfield
tonye,schofield,1986-04-28,tonye schofield
balsa,fields,2000-02-16,balsa fields
youssoufa,vucevic,1981-02-08,youssoufa vucevic
elegar,mckinnie,1988-06-05,elegar mckinnie
diop,greg,1995-06-29,diop greg
vives,wolters,1981-05-18,vives wolters
rafer,haddadi,1994-01-29,rafer haddadi
vladislav,duval,1977-07-16,vladislav duval
millan,djurisic,1994-07-22,millan djurisic
naz,postell,1995-06-24,naz postell
mikel,parsons,1989-01-08,mikel parsons
lavoy,lazic,1987-01-06,lavoy lazic
marquese,gecim,1994-09-15,marquese gecim
martell,abass,1981-09-16,martell abass
caloiaro,imbro,1985-11-04,caloiaro imbro
owens,rogers,1989-06-25,owens rogers
shirley,oroz,1992-01-17,shirley oroz
benson,dozier,1984-10-23,benson dozier
bouquet,konchar,1990-12-03,bouquet konchar
casspi,cole,1982-02-07,casspi cole
brandone,mccallum,1990-07-26,brandone mccallum
og,diagne,1981-02-08,og diagne
musa,fisher,1986-05-07,musa fisher
marcquise,ofoegbu,1988-08-11,marcquise ofoegbu
zimmerman,williams,2003-06-09,zimmerman williams
pressey,lafrentz,2004-05-11,pressey lafrentz
echenique,oubre,1989-11-03,echenique oubre
zoosman,lockett,1985-11-25,zoosman lockett
heurtel,yi,1977-11-12,heurtel yi
dajuan,posey,1973-11-09,dajuan posey
art,vranjes,1980-02-19,art vranjes
will,early,1998-01-23,will early
georges,gobert,2001-04-28,georges gobert
nnoko,quarterman,2004-03-28,nnoko quarterman
anton,bornn,1996-02-09,anton bornn
hopkins,southerland,2000-06-02,hopkins southerland
rojas,shurna,1997-03-01,rojas shurna
valanciunas,scalabrine,1993-05-27,valanciunas scalabrine
antic,wilbekin,1988-10-08,antic wilbekin
frankie,mazzola,2002-02-06,frankie mazzola
elizabeth,jimenez,1985-01-11,elizabeth jimenez
granger,wembanyama,1993-09-13,granger wembanyama
trice ii,stepheson,1997-06-12,trice ii stepheson
wolters,edwards,1994-09-14,wolters edwards
giffey,agravanis,1996-05-15,giffey agravanis
felton,cattapan,1987-07-08,felton cattapan
blake,blakeney,1983-06-18,blake blakeney
semi,mujakovic,1992-12-15,semi mujakovic
lanmuller,alocen,1989-10-03,lanmuller alocen
deniz,delaney,1994-04-01,deniz delaney
axel,booth,1989-07-13,axel booth
micheal,solomon,2001-08-31,micheal solomon
balcerowski,lountzis,1987-09-24,balcerowski lountzis
dejuan,cheese,1985-02-18,dejuan cheese
luis,angola,2000-09-20,luis angola
bartolome,koshwal,1992-07-15,bartolome koshwal
jameson,fortson,1992-12-04,jameson fortson
montero,rubenstein,1991-05-29,montero rubenstein
burrell,fredette,1992-08-31,burrell fredette
pavel,hill,1978-09-22,pavel hill
nikolic,sikma,1994-09-27,nikolic sikma
oguz,kidd,1994-06-14,oguz kidd
a.j.,austin,1977-06-16,a.j. austin
isaia,walden,1986-11-01,isaia walden
salin,mccall,1986-08-22,salin mccall
scott,vitor,1978-09-14,scott vitor
pau,summers,1981-09-01,pau summers
ahmad,rice,1992-06-10,ahmad rice
davide,best,1971-09-06,davide best
luguentz,roberts,1982-07-15,luguentz roberts
erik,masiulis,1991-09-24,erik masiulis
diallo,padgett,1994-07-23,diallo padgett
montrezl,udoh,1988-10-06,montrezl udoh
thon,knight,1990-06-14,thon knight
stephane,dort,1984-01-09,stephane dort
kahlil,melo,1989-01-22,kahlil melo
d'angelo,nash,1989-09-24,d'angelo nash
wilcox,ayton,2002-01-30,wilcox ayton
claver,pondexter,2003-04-01,claver pondexter
earl,mcgee,1994-03-03,earl mcgee
arron,armstrong,1993-06-30,arron armstrong
krause,hammons,1987-05-21,krause hammons
bam,slay,1982-10-23,bam slay
koumadje,wiseman,1991-03-01,koumadje wiseman
sajus,theodore,1991-01-14,sajus theodore
ante,jaramaz,1985-12-30,ante jaramaz
charalampopoulos,may,1993-08-26,charalampopoulos may
stone,deng,1979-10-15,stone deng
amal,terry,1990-04-21,amal terry
black,novak,1994-05-31,black novak
chinanu,velickovic,1979-04-17,chinanu velickovic
jameel,weatherspoon,1993-05-28,jameel weatherspoon
daval-braquet,huffman,1995-04-06,daval-braquet huffman
o'neale,dimsa,1992-11-05,o'neale dimsa
arteaga,grant,1995-09-21,arteaga grant
ian,beane,2002-11-15,ian beane
glyniadakis,harvey,1988-03-20,glyniadakis harvey
ibaka,windler,1988-11-11,ibaka windler
liam,krejci,1977-12-27,liam krejci
stephon,carter-williams,1988-02-04,stephon carter-williams
scales,okobo,1997-06-21,scales okobo
stoll,gutierrez,1987-03-02,stoll gutierrez
